first_name,last_name,email,course,date,time_in,time_out,work_type
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/13/2025,9:53 AM,12:13 PM,Proctoring
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/25/2025,2:03 PM,6:11 PM,Office Hours
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/7/2025,11:54 AM,1:55 PM,Lab
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/6/2025,2:50 PM,6:02 PM,Lab
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/6/2025,2:11 PM,4:41 PM,Office Hours
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/27/2025,10:27 AM,12:10 PM,Communication
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/2/2025,5:25 PM,8:38 PM,Grading
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/1/2025,3:52 PM,5:27 PM,Communication
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/11/2025,3:13 PM,4:43 PM,Office Hours
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/30/2025,4:39 PM,8:58 PM,Proctoring
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/14/2025,12:35 PM,4:38 PM,Communication
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/28/2025,12:23 PM,1:24 PM,Office Hours
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/13/2025,12:47 PM,1:11 PM,Office Hours
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/28/2025,4:32 PM,8:01 PM,Communication
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/18/2025,3:36 PM,4:31 PM,Grading
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/17/2025,2:05 PM,4:11 PM,Communication
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/17/2025,11:50 AM,3:31 PM,Grading
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/30/2025,11:06 AM,1:17 PM,Proctoring
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/26/2025,9:49 AM,11:02 AM,Office Hours
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/3/2025,2:23 PM,6:09 PM,Lab
Zorita,Moon,zmoon@ncsu.edu,CSC216,10/11/2025,12:27 PM,1:03 PM,Office Hours
Sara,David,sdavid@ncsu.edu,E298,10/20/2025,9:30 AM,12:58 PM,Communication
Sara,David,sdavid@ncsu.edu,E298,10/27/2025,10:23 AM,1:37 PM,Lab
Sara,David,sdavid@ncsu.edu,E298,10/28/2025,1:01 PM,4:49 PM,Proctoring
Sara,David,sdavid@ncsu.edu,E298,10/11/2025,2:51 PM,6:32 PM,Office Hours
Sara,David,sdavid@ncsu.edu,E298,10/20/2025,9:23 AM,1:45 PM,Communication
Sara,David,sdavid@ncsu.edu,E298,10/5/2025,2:36 PM,4:03 PM,Lab
Sara,David,sdavid@ncsu.edu,E298,10/6/2025,10:24 AM,12:28 PM,Communication
Sara,David,sdavid@ncsu.edu,E298,10/29/2025,2:31 PM,4:05 PM,Grading
Sara,David,sdavid@ncsu.edu,E298,10/9/2025,8:45 AM,11:11 AM,Lab
Sara,David,sdavid@ncsu.edu,E298,10/20/2025,3:25 PM,7:57 PM,Proctoring
Sara,David,sdavid@ncsu.edu,E298,10/15/2025,5:21 PM,9:40 PM,Lab
Sara,David,sdavid@ncsu.edu,E298,10/24/2025,2:30 PM,6:11 PM,Proctoring
Sara,David,sdavid@ncsu.edu,E298,10/6/2025,5:56 PM,9:31 PM,Grading
Sara,David,sdavid@ncsu.edu,E298,10/8/2025,5:18 PM,8:05 PM,Communication
Sara,David,sdavid@ncsu.edu,E298,10/30/2025,1:14 PM,2:27 PM,Communication
Sara,David,sdavid@ncsu.edu,E298,10/14/2025,3:16 PM,7:24 PM,Meeting
Sara,David,sdavid@ncsu.edu,E298,10/24/2025,10:03 AM,12:45 PM,Office Hours
Sara,David,sdavid@ncsu.edu,E298,10/28/2025,9:58 AM,10:35 AM,Meeting
Sara,David,sdavid@ncsu.edu,E298,10/13/2025,12:43 PM,4:18 PM,Lab
